Key: TUMOR                      Mask_Color: [197]

Key: TUMOR
   2018-04-19 12.42.14copy1.ndpi_0_45568_9472.tif
   2018-04-19 12.42.14copy1.ndpi_0_45824_9472.tif
   2018-04-19 12.42.14copy1.ndpi_0_44800_9728.tif
   2018-04-19 12.42.14copy1.ndpi_0_45056_9728.tif
   2018-04-19 12.42.14copy1.ndpi_0_45312_9728.tif
   2018-04-19 12.42.14copy1.ndpi_0_45568_9728.tif
   2018-04-19 12.42.14copy1.ndpi_0_45824_9728.tif
   2018-04-19 12.42.14copy1.ndpi_0_46592_9728.tif
   2018-04-19 12.42.14copy1.ndpi_0_46848_9728.tif
   2018-04-19 12.42.14copy1.ndpi_0_47104_9728.tif
   2018-04-19 12.42.14copy1.ndpi_0_47360_9728.tif
   2018-04-19 12.42.14copy1.ndpi_0_47616_9728.tif
   2018-04-19 12.42.14copy1.ndpi_0_47872_9728.tif
   2018-04-19 12.42.14copy1.ndpi_0_48128_9728.tif
   2018-04-19 12.42.14copy1.ndpi_0_48384_9728.tif
   2018-04-19 12.42.14copy1.ndpi_0_44544_9984.tif
   2018-04-19 12.42.14copy1.ndpi_0_44800_9984.tif
   2018-04-19 12.42.14copy1.ndpi_0_45056_9984.tif
   2018-04-19 12.42.14copy1.ndpi_0_45312_9984.tif
   2018-04-19 12.42.14copy1.ndpi_0_45568_9984.tif
   2018-04-19 12.42.14copy1.ndpi_0_46080_9984.tif
   2018-04-19 12.42.14copy1.ndpi_0_46336_9984.tif
   2018-04-19 12.42.14copy1.ndpi_0_46592_9984.tif
   2018-04-19 12.42.14copy1.ndpi_0_46848_9984.tif
   2018-04-19 12.42.14copy1.ndpi_0_47104_9984.tif
   2018-04-19 12.42.14copy1.ndpi_0_47360_9984.tif
   2018-04-19 12.42.14copy1.ndpi_0_47616_9984.tif
   2018-04-19 12.42.14copy1.ndpi_0_47872_9984.tif
   2018-04-19 12.42.14copy1.ndpi_0_48128_9984.tif
   2018-04-19 12.42.14copy1.ndpi_0_48384_9984.tif
   2018-04-19 12.42.14copy1.ndpi_0_48640_9984.tif
   2018-04-19 12.42.14copy1.ndpi_0_43776_10240.tif
   2018-04-19 12.42.14copy1.ndpi_0_44032_10240.tif
   2018-04-19 12.42.14copy1.ndpi_0_44288_10240.tif
   2018-04-19 12.42.14copy1.ndpi_0_44544_10240.tif
   2018-04-19 12.42.14copy1.ndpi_0_44800_10240.tif
   2018-04-19 12.42.14copy1.ndpi_0_45056_10240.tif
   2018-04-19 12.42.14copy1.ndpi_0_45312_10240.tif
   2018-04-19 12.42.14copy1.ndpi_0_45824_10240.tif
   2018-04-19 12.42.14copy1.ndpi_0_46080_10240.tif
   2018-04-19 12.42.14copy1.ndpi_0_46336_10240.tif
   2018-04-19 12.42.14copy1.ndpi_0_46592_10240.tif
   2018-04-19 12.42.14copy1.ndpi_0_46848_10240.tif
   2018-04-19 12.42.14copy1.ndpi_0_47104_10240.tif
   2018-04-19 12.42.14copy1.ndpi_0_47360_10240.tif
   2018-04-19 12.42.14copy1.ndpi_0_47616_10240.tif
   2018-04-19 12.42.14copy1.ndpi_0_47872_10240.tif
   2018-04-19 12.42.14copy1.ndpi_0_48128_10240.tif
   2018-04-19 12.42.14copy1.ndpi_0_48384_10240.tif
